"","X.Flat.Intrusion","Temporal","Spatiotemporal","Spatiotemporal.Orthographic","Spatiotemporal.Semantic","Four.Factor"
"1",2724.0604,2185.6127,2086.1357,2531.8372,2398.5747,2243.3355
"2",2804.5216,2401.6276,2373.66,2576.3798,2450.1026,2364.5464
"3",3405.9178,3248.632,3234.2523,3255.566,3244.5944,3246.3282
"4",3191.9641,3008.881,2944.7792,2980.3306,3007.288,3217.7191
"5",3031.0076,2999.9454,2998.3309,3001.0984,3003.7767,3007.9746
"6",2.99510091704191e-139,2.50520870358027e-22,1,1.64872789926933e-97,1.42801636451332e-68,7.31976522807431e-35
"7",2.85801698892891e-96,8.77779233326917e-09,0.0103865777888723,9.91807120213874e-47,2.61320088667402e-19,0.989613413433335
"8",5.24187685017673e-38,0.000747591447749028,0.991234718984707,2.33327192670393e-05,0.00562882860205857,0.00236552824621809
"9",2.11096460674854e-54,1.20356896808162e-14,0.999999980940458,1.90595029152188e-08,2.66923331398528e-14,5.39328985041142e-60
"10",4.5316840484595e-08,0.251959449547142,0.564826249062374,0.141566300210048,0.0371000441658892,0.0045479116977059
