"","participant","nLL","aic","prec1","prec2","gamma","beta"
"1",1,-71.4534629146224,-134.906925829245,58.0815300387041,49.9999980555221,0.0500000000038672,0.0500000000009368
"2",2,642.583005877512,1293.16601175502,3.6950987604163,0.375601783152693,0.742509546890887,0.055432521973788
"3",3,562.115103045429,1132.23020609086,13.2433881431668,13.4589384927,0.0537361220160782,0.557503309675004
"4",4,548.892281505595,1105.78456301119,9.11876118340715,49.9999999991523,0.1206649754585,0.445726129358364
"5",5,530.988132381962,1069.97626476392,11.0251540756558,49.999999998105,0.203796057381447,0.358259269559697
"6",6,163.878270520266,335.756541040531,18.4793012968705,0.100000000146503,0.0500000000639307,0.0716711083671297
"7",7,590.678944229375,1189.35788845875,8.6622391468335,5.34398590313369,0.270634138311516,0.409419942265136
"8",8,429.033418061442,866.066836122885,19.5543746549111,9.67979500664377,0.2163890826832,0.251273975311618
"9",9,494.025866823715,996.051733647431,11.4509444521713,10.8595993872535,0.145839911455054,0.329329062893874
"10",10,578.795895326684,1165.59179065337,20.3728127288541,7.92628293549269,0.456778462634295,0.297550326474371
"11",11,464.698318774728,937.396637549457,11.4288822097553,1.48225559092495,0.37732275643968,0.0500000004131787
"12",12,618.196298633102,1244.3925972662,8.17953964629284,23.2046958672521,0.087379217286846,0.648881232214128
"13",13,618.509028230969,1245.01805646194,5.59330360768464,0.10000001123827,0.0500000018070232,0.716044890140896
"14",14,640.582602095674,1289.16520419135,99.999999883511,14.5727638193804,0.346072872939845,0.645549561607992
"15",15,626.895884598651,1261.7917691973,5.4583106228083,0.200552277449189,0.749181117722916,0.0500034909606259
"16",16,495.688301107378,999.376602214756,12.0879018343224,7.35785021176866,0.183199120586673,0.325316194755903
"17",17,522.119004767734,1052.23800953547,11.8772734172436,5.6212057565347,0.263169335940985,0.270301605873978
"18",18,165.866606528932,339.733213057863,12.0601000661346,0.644174378207412,0.0500000000002121,0.0500000000006067
"19",19,502.385532612394,1012.77106522479,26.1247500550556,24.3167230683919,0.23977316978023,0.352002905161899
"20",20,508.337061793934,1024.67412358787,23.1237978190484,12.4144498723075,0.270610008945811,0.314427732546915
"21",21,623.588765157549,1255.1775303151,8.93686030959688,8.73122981952323,0.390198419447475,0.413675370436667
"22",22,557.816628162677,1123.63325632535,60.6341063702114,11.0295221377289,0.363556535846953,0.518261103370063
"23",23,593.142432017897,1194.28486403579,14.7140956491843,8.64077496749042,0.355699980404073,0.369400952383156
"24",24,570.078328907652,1148.1566578153,22.3955674119306,8.35332772137896,0.456076210691514,0.26823021668474
"25",25,564.512164395331,1137.02432879066,21.6323442545645,49.9999999998114,0.0824013679723285,0.580282675006486
"26",26,360.196916484951,728.393832969902,13.057247625204,2.99146251226582,0.25904907077016,0.0500000000010927
"27",27,536.837778093308,1081.67555618662,12.6539674522425,0.100003460370969,0.372685230508842,0.196515385307496
"28",28,612.337126823441,1232.67425364688,28.4935247510236,29.7208294514735,0.172042670909567,0.668189837316919
"29",29,642.184015690214,1292.36803138043,11.9420239316628,12.0422024401347,0.095363500029836,0.770693587194517
"30",30,637.296521355984,1282.59304271197,22.6219896443146,16.9613979685461,0.230529455200415,0.687740555754312
"31",31,296.050900473109,600.101800946219,15.5943707359159,31.4338179978522,0.0931588215648226,0.150897040990473
"32",32,599.238288325679,1206.47657665136,16.0504141737326,22.865418597254,0.148062795717573,0.595112043747095
"33",33,566.439946708036,1140.87989341607,18.767352401749,0.634744439861088,0.628149253970105,0.0500000001119856
"34",34,473.560864097509,955.121728195017,12.4073634223166,6.12025996113019,0.0649640989323831,0.374088471791596
"35",35,583.071033864941,1174.14206772988,6.0758069651394,16.6397070976933,0.0887799232150043,0.551699880543409
"36",36,557.088975579317,1122.17795115863,10.6695650796085,13.1762835341353,0.0571857276638223,0.575325455458455
