"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi"
"result.1",1,-63.7483690850353,-107.496738170071,39.9989149995291,32.5508286087075,0.00698057885033899,0.809931567488558,0.0278437356959619,0.0047162457999884,0.0340604747696817,0.000865829897133099,0.56072504565368,0.675874669830072
"result.2",2,640.175605662821,1300.35121132564,3.2939522949727,0.586408392942894,0.597585775779808,0.592148710917225,3.30355363892155,4.73133970136127,0.455250376626889,0.686431406558057,0.214650907730566,0.43582078644649
"result.3",3,559.017739882426,1138.03547976485,13.0957305078779,10.8898714065572,0.196816494716536,0.954485213926238,1.03002707708129,4.00611568624197,0.524117145719687,0.602705315664461,0.0496140688141146,0.145804668592375
"result.4",4,547.442025192647,1114.88405038529,12.5746289136762,4.60619810079716,0.149684144568518,0.651727322735639,0.870218209282336,0.167374626917942,0.391540249494687,0.973248728972306,0.707944073553855,0.446915296755051
"result.5",5,530.984994631683,1081.96998926337,12.2249249744275,39.9671297026647,0.0537647250977954,0.989971235586678,0.0735964753595284,1.25921460780699,0.349433196128971,0.0998076817248798,0.385104111570266,0.899955280786701
"result.6",6,152.087624528326,324.175249056652,19.0584438022482,0.101067675727879,0.0796067549547503,0.000140306794229384,0.0434011840354036,4.64870148151608,0.000757280435447015,0.970238869213766,0.389430422995487,0.656814751797396
"result.7",7,588.836600789929,1197.67320157986,8.73539984573791,5.53137883148508,0.073498287470154,0.299031333066523,3.00825520173765,0.00220290302518785,0.4223022664964,0.0245563547083939,0.917819323266185,0.277537043904886
"result.8",8,422.455804544767,864.911609089535,25.6575793976,4.37190440525553,0.149387791744368,0.959159963790359,0.745580967286958,1.64246430182981,0.205438954920328,0.997658771553016,0.701634173118754,0.60369569358457
"result.9",9,488.841662164876,997.683324329751,12.1780274830659,6.62110708793723,0.178547825246503,0.106510533016461,4.24383550447412,1.15653664186358,0.31666153797096,0.866338726133108,0.632543642716869,0.233181040268391
"result.10",10,577.962264380029,1175.92452876006,20.9431281456252,7.33658746601774,0.0997665382336419,0.0194247109637357,1.08453336931471,0.0607664950083533,0.29541564994963,0.19929202567502,0.954899275645725,0.393372523598373
"result.11",11,461.151271166889,942.302542333777,13.4097588568167,1.89191858380388,0.108827770769566,0.289697651598391,1.61896059475839,0.411620796925847,0.106510965374985,0.56427959929813,0.66534762351405,0.621361871249974
"result.12",12,615.192083468136,1250.38416693627,13.0776538649055,23.533378494917,0.111666330378062,0.893346055659295,0.039350340404856,0.159946237859855,0.636903774561099,0.999933461944696,0.998272903749775,0.99764592175122
"result.13",13,615.99659188004,1251.99318376008,4.63902983394858,0.10007735972618,0.227253759730651,0.16071924510385,3.34821272615886,2.60702509726136,0.380751844709743,0.0983486443982609,0.554394595645579,0.535617254907265
"result.14",14,637.074095460888,1294.14819092178,0.11435847261791,13.6904464347348,0.256953820820898,0.991040959351152,0.00556677480524005,1.69227879380636,0.512288988331577,0.464733057080723,0.327073587525636,0.612538789975374
"result.15",15,621.41573717522,1262.83147435044,4.7102670806701,9.0624239106519,0.40180142611777,0.599742870845642,4.99303235905245,4.97427142262737,0.680996361743767,0.755429255543277,0.00570177656109438,0.00160822935352511
"result.16",16,489.638040141088,999.276080282177,14.6498133345192,8.95013359824661,0.242947515907368,0.789828058040785,0.238852939173589,1.31289829369393,0.309687701372678,0.725839809891771,0.0244865477518677,0.437062188296821
"result.17",17,520.070507923894,1060.14101584779,12.8091517588802,8.81432913282877,0.0939318643257815,0.974041408331175,0.00606481917202473,0.0341288479003814,0.328902185320452,0.29911195729948,0.198835600154659,0.749240498077838
"result.18",18,163.251879695722,346.503759391445,11.8105084670449,0.883609945021258,0.0146760933586786,0.129431488608987,2.54971784326406,1.18623680318706,0.0129559845136362,0.97140281205782,0.808198686760904,0.912081195673099
"result.19",19,496.33205024393,1012.66410048786,35.9390025280593,11.9495900238474,0.124854768239919,0.763647703894356,2.16117507690028,1.13479769792177,0.308927305577426,0.803248073948791,0.552092859181672,0.920871873306094
"result.20",20,501.248682294004,1022.49736458801,27.310690898906,10.9412615520095,0.309830905260431,0.423702758021997,0.334113841312852,0.48892316882073,0.285557789897488,0.957622228888795,0.257805685959908,0.302562352219018
"result.21",21,620.570367772706,1261.14073554541,9.21637389884682,9.92224900870199,0.153610787058556,0.74100728283379,1.93314377918948,2.25625350655549,0.434444324661642,0.0395367583206032,0.721009892133007,0.477676970839
"result.22",22,556.04728710163,1132.09457420326,39.9882264229777,12.5629679015892,0.39233655910939,0.362120576679654,0.432993640437722,0.159928687797383,0.525040933550093,0.0112558131827445,0.383309924761595,0.0554869921919384
"result.23",23,590.533192090009,1201.06638418002,14.9532232389997,9.08702024965265,0.088269905410707,0.806774070254183,2.24607737559299,0.0441724904931317,0.376244617836437,0.00432931682087075,0.283747200671899,0.919785653959537
"result.24",24,567.139873564133,1154.27974712827,24.5974196380895,12.4153681184025,0.0977251704977206,0.683767297098712,2.49001308304564,0.0199272009879618,0.35209809557983,0.0666520628328114,0.733734663047624,0.807367258341149
"result.25",25,560.164884478936,1140.32976895787,21.5800513967071,2.14825196596679,0.371780928297995,0.951511420483997,4.98951479397809,4.8442476889974,0.514839798072793,0.905197717155125,0.00671911115225925,0.144996765289411
"result.26",26,359.408465229984,738.816930459968,13.0522325900057,39.2830627942458,0.0585194260747955,0.0387622750088634,2.39462363588852,0.874015223391215,0.208593375485813,0.191052319017927,0.467926145010336,0.358625958313898
"result.27",27,535.970061563781,1091.94012312756,14.0965627107145,1.85753538653317,0.0783496325860034,0.999883966145543,1.59467562562697,0.0061223264991637,0.504155302745521,0.997118732473919,0.706424043278443,0.648982759255872
"result.28",28,610.565090961168,1241.13018192234,36.8040461089463,28.3636254143217,0.242060315570995,0.152417031417588,0.00501047398439607,0.0485178789074772,0.675241318450209,0.692173488232872,0.523855516454205,0.399131355895334
"result.29",29,639.899853046093,1299.79970609219,8.49784726038193,0.723560561635989,0.684959270638451,0.416381579583035,0.724305991735561,1.33519198845799,0.620037309524648,0.119650913622954,0.0412935515558023,0.0272084774915129
"result.30",30,635.88512710203,1291.77025420406,19.4598716161655,20.7589233873269,0.150464298902079,0.959343845411594,0.000919614838724631,0.012157309416163,0.689028796926489,0.442738884968912,0.583334285535714,0.869778132784253
"result.31",31,287.425719285016,594.851438570032,18.3909353493767,24.5262562798588,0.125747443404434,0.986945618432055,0.73237487903643,4.12884096674204,0.14230671638571,0.968706561965376,0.209016630107025,0.469639941568305
"result.32",32,595.311266757348,1210.6225335147,22.5311317491384,14.0563998589377,0.352959336060592,0.991477331191905,0.000920700817730088,2.29817263792042,0.592604577243604,0.991007919506457,0.001026583982289,0.554079206660839
"result.33",33,563.879472192797,1147.75894438559,25.6698501202319,3.51105914874117,0.219962801307953,0.330387404690846,3.69153012409675,0.576300542342187,0.537545409542899,0.997321537955081,0.584546646327392,0.366350081717292
"result.34",34,471.821643799706,963.643287599411,12.5759334016647,1.49571229330033,0.0927780051634855,0.309476934269985,3.36313498225754,1.8486279892025,0.261873262494036,0.116146704602633,0.544294399246213,0.475487059014206
"result.35",35,580.623324321525,1181.24664864305,8.08278797617408,8.48408983473986,0.194617539608884,0.031604527325536,4.85741319398097,1.32608197682732,0.539368576237374,0.995407741598481,0.736088143595152,0.307057681866405
"result.36",36,554.73497077708,1129.46994155416,10.5309246814648,14.3201304353602,0.117344035703491,0.91238866919351,0.024976784242938,2.58489649410141,0.53616781702711,0.00119185742471094,0.26744830518307,0.289610450916405
