,Pure.Guess,Pure.Intrusion,Intrusion...Guess,Temporal,Spatiotemporal,Pure.Guess,Pure.Intrusion,Intrusion...Guess,Temporal,Spatiotemporal,,,,,,
1,-135.2796805,-70.57436569,-139.0180717,-128.3062267,-124.2833052,0.133,0.000,0.862,0.004,0.001,,-135 (0.13),-71 (0),-139 (0.86),-128 (0),-124 (0)
2,1291.149463,1294.537699,1292.587135,1295.882413,1298.469042,0.558,0.103,0.272,0.052,0.014,,1291 (0.56),1295 (0.1),1293 (0.27),1296 (0.05),1298 (0.01)
3,1129.004272,1192.324006,1130.230284,1131.981812,1135.972178,0.556,0.000,0.301,0.125,0.017,,1129 (0.56),1192 (0),1130 (0.3),1132 (0.13),1136 (0.02)
4,1109.953921,1124.656333,1105.495537,1111.790447,1112.900115,0.092,0.000,0.851,0.037,0.021,,1110 (0.09),1125 (0),1105 (0.85),1112 (0.04),1113 (0.02)
5,1088.474088,1103.29787,1074.939546,1081.912767,1085.031225,0.001,0.000,0.963,0.029,0.006,,1088 (0),1103 (0),1075 (0.96),1082 (0.03),1085 (0.01)
6,331.5978277,394.5878322,334.5839861,323.3322495,321.8740384,0.005,0.000,0.001,0.323,0.670,,332 (0.01),395 (0),335 (0),323 (0.32),322 (0.67)
7,1196.9591,1208.776137,1187.875935,1191.585593,1195.688534,0.009,0.000,0.842,0.132,0.017,,1197 (0.01),1209 (0),1188 (0.84),1192 (0.13),1196 (0.02)
8,875.8328539,901.9587365,864.7131706,866.7946289,862.9111021,0.001,0.000,0.262,0.092,0.645,,876 (0),902 (0),865 (0.26),867 (0.09),863 (0.64)
9,999.3164912,1037.443854,994.053467,994.6721551,995.6290669,0.032,0.000,0.442,0.325,0.201,,999 (0.03),1037 (0),994 (0.44),995 (0.32),996 (0.2)
10,1193.333442,1186.024338,1166.727446,1174.065014,1173.877711,0.000,0.000,0.949,0.024,0.027,,1193 (0),1186 (0),1167 (0.95),1174 (0.02),1174 (0.03)
11,945.1596285,965.7296656,936.6983027,939.6650454,940.2709984,0.010,0.000,0.710,0.161,0.119,,945 (0.01),966 (0),937 (0.71),940 (0.16),940 (0.12)
12,1242.684081,1261.486262,1243.82166,1244.489179,1248.799093,0.495,0.000,0.280,0.201,0.023,,1243 (0.5),1261 (0),1244 (0.28),1244 (0.2),1249 (0.02)
13,1240.978061,1256.169099,1243.329585,1245.762745,1249.993001,0.708,0.000,0.219,0.065,0.008,,1241 (0.71),1256 (0),1243 (0.22),1246 (0.06),1250 (0.01)
14,1308.561714,1296.611851,1287.574366,1310.259646,1299.7384,0.000,0.011,0.987,0.000,0.002,,1309 (0),1297 (0.01),1288 (0.99),1310 (0),1300 (0)
15,1258.204297,1271.403565,1260.054269,1257.611459,1261.633509,0.342,0.000,0.136,0.460,0.062,,1258 (0.34),1271 (0),1260 (0.14),1258 (0.46),1262 (0.06)
16,1002.940655,1024.586214,997.927467,994.1111975,997.2923533,0.009,0.000,0.109,0.733,0.149,,1003 (0.01),1025 (0),998 (0.11),994 (0.73),997 (0.15)
17,1057.282469,1071.75287,1052.037088,1055.059225,1058.341375,0.054,0.000,0.748,0.165,0.032,,1057 (0.05),1072 (0),1052 (0.75),1055 (0.17),1058 (0.03)
18,331.8841048,344.0163273,334.6183647,341.5143249,344.326754,0.789,0.002,0.201,0.006,0.002,,332 (0.79),344 (0),335 (0.2),342 (0.01),344 (0)
19,1039.12181,1054.275779,1010.778124,1017.430788,1010.643004,0.000,0.000,0.475,0.017,0.508,,1039 (0),1054 (0),1011 (0.47),1017 (0.02),1011 (0.51)
20,1044.529751,1105.181082,1023.62439,1020.424059,1020.457435,0.000,0.000,0.092,0.458,0.450,,1045 (0),1105 (0),1024 (0.09),1020 (0.46),1020 (0.45)
21,1274.339445,1267.444173,1253.17944,1254.891888,1259.241563,0.000,0.001,0.678,0.288,0.033,,1274 (0),1267 (0),1253 (0.68),1255 (0.29),1259 (0.03)
22,1144.464559,1154.403463,1126.943182,1126.808344,1129.442459,0.000,0.000,0.424,0.454,0.122,,1144 (0),1154 (0),1127 (0.42),1127 (0.45),1129 (0.12)
23,1212.417689,1216.335911,1193.288437,1195.030384,1199.30406,0.000,0.000,0.681,0.285,0.034,,1212 (0),1216 (0),1193 (0.68),1195 (0.29),1199 (0.03)
24,1183.309342,1161.650571,1147.063131,1148.495987,1152.676937,0.000,0.000,0.645,0.315,0.039,,1183 (0),1162 (0),1147 (0.65),1148 (0.32),1153 (0.04)
25,1137.028862,1207.753762,1136.477291,1134.499714,1138.311633,0.157,0.000,0.206,0.555,0.082,,1137 (0.16),1208 (0),1136 (0.21),1134 (0.55),1138 (0.08)
26,735.1475153,746.7307513,728.0502564,732.5359682,736.341951,0.025,0.000,0.869,0.092,0.014,,735 (0.02),747 (0),728 (0.87),733 (0.09),736 (0.01)
27,1077.717523,1133.712966,1079.693296,1087.168413,1090.037171,0.723,0.000,0.269,0.006,0.002,,1078 (0.72),1134 (0),1080 (0.27),1087 (0.01),1090 (0)
28,1239.915506,1266.999901,1230.676326,1237.305567,1239.213188,0.009,0.000,0.943,0.034,0.013,,1240 (0.01),1267 (0),1231 (0.94),1237 (0.03),1239 (0.01)
29,1290.085703,1298.883,1290.368076,1293.58889,1297.768885,0.482,0.006,0.418,0.084,0.010,,1290 (0.48),1299 (0.01),1290 (0.42),1294 (0.08),1298 (0.01)
30,1293.565513,1291.14063,1280.726158,1292.330291,1290.09618,0.002,0.005,0.981,0.003,0.009,,1294 (0),1291 (0.01),1281 (0.98),1292 (0),1290 (0.01)
31,605.1089252,631.1227636,598.6139191,593.0674633,592.7792021,0.001,0.000,0.028,0.450,0.520,,605 (0),631 (0),599 (0.03),593 (0.45),593 (0.52)
32,1208.953788,1237.129042,1204.551024,1207.404497,1208.668209,0.075,0.000,0.676,0.162,0.086,,1209 (0.07),1237 (0),1205 (0.68),1207 (0.16),1209 (0.09)
33,1141.213845,1180.657644,1143.440273,1144.703152,1145.750743,0.622,0.000,0.204,0.109,0.064,,1141 (0.62),1181 (0),1143 (0.2),1145 (0.11),1146 (0.06)
34,952.0476086,1000.002681,953.3481647,957.4883477,961.6120717,0.627,0.000,0.327,0.041,0.005,,952 (0.63),1000 (0),953 (0.33),957 (0.04),962 (0.01)
35,1172.635099,1187.645531,1172.634694,1177.874948,1179.264217,0.474,0.000,0.474,0.035,0.017,,1173 (0.47),1188 (0),1173 (0.47),1178 (0.03),1179 (0.02)
36,1119.133205,1172.216755,1120.201694,1123.583546,1127.605251,0.585,0.000,0.343,0.063,0.008,,1119 (0.59),1172 (0),1120 (0.34),1124 (0.06),1128 (0.01)
