prec1,prec2,gamma,kappa,lambda_b,lambda_f,beta,cond
49.99182853,48.51085086,0.074678995,0.551537836,0.001552882,0.024469882,0.037062467,Simultaneous
3.056011648,0.543225486,0.998382034,0.100873208,0.897193073,0.053032273,0.311487042,Simultaneous
13.08755064,10.51876831,0.224140052,0.958627594,0.860660237,3.863409129,0.518582795,Simultaneous
9.534864269,9.527755279,0.463801449,0.389165135,0.386061097,0.000163253,0.423443723,Simultaneous
14.04742198,14.04426046,0.672299761,0.639884586,7.00E-05,0.13834456,0.34271903,Sequential
19.03857076,0.100010416,0.251985265,0.00152259,0.000205518,4.852954202,2.54E-07,Sequential
8.661298361,5.547821543,0.811629156,0.425940265,0.24806667,5.83E-05,0.422788285,Simultaneous
18.70791513,10.81902142,0.452265735,0.718091582,0.080740384,0.450105387,0.245600694,Simultaneous
11.15810975,5.337098286,0.331162273,0.095925673,2.831260934,0.379869843,0.302072125,Simultaneous
20.20974647,11.06559811,0.999851758,0.36432079,0.136957433,0.002253689,0.418711447,Sequential
11.82780507,1.35601243,0.745797254,0.444904183,0.174799919,0.017439781,0.041862512,Simultaneous
6.926622766,0.104255855,0.701460638,0.810716011,0.999924042,2.988052046,0.297402404,Simultaneous
4.696007868,0.100521828,0.762912484,0.24891209,1.134489563,0.631017387,0.333729167,Simultaneous
7.918860227,7.916982836,0.999952869,0.347281507,4.954427366,1.487320596,0.891583961,Sequential
5.484886932,5.484132154,0.433721666,0.63600903,4.866814027,4.988365386,0.675441633,Sequential
12.81932073,8.614579543,0.476881054,0.723574164,0.134357842,0.812905232,0.29776068,Simultaneous
12.34301204,11.43587051,0.537707579,0.776159032,0.005369429,0.056341792,0.359831218,Simultaneous
11.62490221,0.646637473,0.086382606,0.565020229,0.026153184,0.045712918,0.017930215,Simultaneous
25.86732999,25.79453735,0.610407983,0.44288546,0.198201591,0.08542553,0.360930396,Sequential
22.99102134,10.31137629,0.621240445,0.465205575,0.21440227,0.363418534,0.295847996,Sequential
9.032042808,8.703918514,0.98190775,0.557059385,0.24317585,0.303339447,0.4125467,Sequential
49.98365357,13.39064047,0.999987142,0.376019745,0.416255933,0.188806483,0.586045196,Simultaneous
14.72202718,10.06298387,0.999683109,0.485492427,0.150897207,0.000551926,0.395280248,Sequential
18.40354019,17.78085508,0.999787929,0.550346006,0.121329708,0.002938415,0.384624811,Sequential
21.14256954,2.051024825,0.336205972,0.930732247,4.899686347,4.999090493,0.512006402,Sequential
12.8464097,2.158571582,0.475309888,0.638157816,0.187985646,0.257592148,0.001023022,Sequential
12.81317566,12.81216489,0.053204439,0.999732161,3.68030729,0.761530011,0.550732507,Simultaneous
29.22604693,29.12212394,0.73915972,0.995242956,0.000802957,4.568205875,0.721875505,Simultaneous
9.218882115,0.830401055,0.827330349,0.295282082,0.657922282,0.672593372,0.582376782,Sequential
22.85223996,22.65308945,0.998802492,0.607695847,0.096183075,0.06718204,0.7792135,Simultaneous
17.03914236,17.02806606,0.189926902,0.927465405,0.274042319,2.180008928,0.137840103,Sequential
18.38866312,18.26926582,0.67892077,0.800327363,0.004664907,0.605120244,0.581113601,Sequential
21.11074684,2.255517047,0.53781384,0.270382337,1.309917934,0.206278916,0.502283703,Sequential
12.53279881,1.367322787,0.320347637,0.381315257,1.015843207,0.486089572,0.254022549,Simultaneous
6.564147075,6.561444093,0.284025262,0.716432753,0.678018586,0.976637367,0.540774497,Sequential
10.68496353,10.67727214,0.376126072,0.750447885,0.029201141,1.358156807,0.531857268,Simultaneous
