"","participant","nLL","aic","prec","gamma","beta"
"1",1,-72.5090358649332,-139.018071729866,57.4545167260317,0.0363930962099974,0.0391742627972587
"2",2,643.293567511619,1292.58713502324,3.48320150822044,0.0798022758508908,0.713477601660692
"3",3,562.115141795631,1130.23028359126,13.2464954344043,0.0539817689022873,0.557277203608074
"4",4,549.747768301177,1105.49553660235,9.48255136684633,0.180441667674362,0.389148379225944
"5",5,534.469772790232,1074.93954558046,14.2677553102717,0.240021496274186,0.344529062998644
"6",6,164.291993035396,334.583986070791,18.4790178153141,0.01,0.11306892984684
"7",7,590.937967690257,1187.87593538051,7.62787313214188,0.2424959602889,0.426888776060303
"8",8,429.356585284494,864.713170568989,18.8346969757895,0.17426541772018,0.289976117844796
"9",9,494.026733520986,994.053467041971,11.4357291756274,0.143939888559373,0.331102852132759
"10",10,580.363722789645,1166.72744557929,16.4712827614448,0.34584854298046,0.402035947060719
"11",11,465.349151350018,936.698302700036,11.1759048673548,0.161636177403084,0.261992593608207
"12",12,618.910830005905,1243.82166001181,9.33230511451303,0.0770494759954049,0.666497785988266
"13",13,618.664792628629,1243.32958525726,5.50435639981758,0.0100000000000012,0.755074383623031
"14",14,640.787183120064,1287.57436624013,14.4237849509686,0.346770622327118,0.65322937756653
"15",15,627.027134648641,1260.05426929728,5.41041001152746,0.0365888997576113,0.763073578156598
"16",16,495.96373349432,997.927466988641,11.575571382838,0.151683986914333,0.352700891793309
"17",17,523.018543939192,1052.03708787838,11.1280233504646,0.188655872803217,0.340597654017136
"18",18,164.30918232653,334.618364653059,11.5807025976523,0.0100000000000002,0.0534973654904924
"19",19,502.389062031544,1010.77812406309,25.9901332695131,0.236120428395308,0.355343944074428
"20",20,508.812194779557,1023.62438955911,21.6901976300734,0.231374095141116,0.349447724665529
"21",21,623.589719906631,1253.17943981326,8.86273631747964,0.388223275348032,0.41529747329162
"22",22,560.471591009482,1126.94318201896,19.6674311317669,0.306753995190545,0.550986650429747
"23",23,593.644218596363,1193.28843719273,13.0076418760672,0.309119339062057,0.410712538132111
"24",24,570.531565685617,1147.06313137123,19.3027944323395,0.337699686411151,0.378445123376666
"25",25,565.238645457871,1136.47729091574,22.1769690852841,0.0829844813171449,0.580471739236475
"26",26,361.025128185614,728.050256371228,13.0314032238946,0.143389202701552,0.164478735915598
"27",27,536.846647903349,1079.6932958067,12.7205881274657,0.0100000000001268,0.559655596515022
"28",28,612.33816288815,1230.6763257763,28.8574428044551,0.173474993368205,0.667194391789
"29",29,642.184038199441,1290.36807639888,11.9566511678706,0.0955681163058752,0.770527706641238
"30",30,637.363079026792,1280.72615805358,19.1164393250302,0.223784568569759,0.691717574167991
"31",31,296.306959532017,598.613919064034,15.8641168782817,0.104951343544096,0.140772884758362
"32",32,599.275512040446,1204.55102408089,16.3802994931428,0.16047990487477,0.583832345546311
"33",33,568.720136427796,1143.44027285559,18.6449217481658,0.0100000000000016,0.666053628684556
"34",34,473.674082347111,953.348164694222,12.342468004637,0.0440889387252708,0.39464482893759
"35",35,583.317347081915,1172.63469416383,6.40618790728966,0.109130987514429,0.536181719218713
"36",36,557.10084719443,1120.20169438886,10.7217541095451,0.0598426576887808,0.572992419424525
